Name
Drew Steckenrider
Spencer Steer
Michael Stefanic
Jackson Stephens
Tyler Stephenson
Cal Stevenson
DJ Stewart
Trevor Story
Bryson Stott
Kyle Stowers
Dee StrangeGordon
Myles Straw
Hunter Strickland
Garrett Stubbs
Eugenio Surez
Cole Sulser
Jack Suwinski
Kurt Suzuki
Seiya Suzuki
Travis Swaggerty
Dansby Swanson
Raimel Tapia
Dillon Tate
Leody Taveras
Chris Taylor
Michael A Taylor
Tyrone Taylor
Rowdy Tellez
Matt Thaiss
Caleb Thielbar
Alek Thomas
Cody Thomas
Dillon Thomas
Lane Thomas
Bubba Thompson
Trayce Thompson
Michael Toglia
Kaai Tom
Spencer Torkelson
Abraham Toro
Luis Torrens
Gleyber Torres
Ezequiel Tovar
Taylor Trammell
Alan Trejo
Jose Trevino
Chadwick Tromp
Mike Trout
Yoshi Tsutsugo
Cole Tucker
Kyle Tucker
Justin Turner
Trea Turner
Justin Upton
Luis Uras
Ramn Uras
Gio Urshela
Josh VanMeter
Ildemaro Vargas
Miguel Vargas
Daulton Varsho
Andrew Vaughn
Terrin Vavra
Christian Vzquez
Andrew Velazquez
Nelson Velzquez
Alex Verdugo
Mark Vientos
Matt Vierling
David Villar
Jonathan Villar
Meibrys Viloria
Daniel Vogelbach
Stephen Vogt
Luke Voit
Jason Vosler
Joey Votto
LaMonte Wade Jr
Tyler Wade
Christian Walker
Steele Walker
Chad Wallach
Matt Wallner
Taylor Walls
Jared Walsh
Donovan Walton
Taylor Ward
Drew Waters
Luke Weaver
JB Wendelken
Joey Wendle
Eli White
Aaron Whitefield
Luke Williams
Trevor Williams
Marcus Wilson
Jesse Winker
Patrick Wisdom
Bobby Witt
Tony Wolters
Connor Wong
Kolten Wong
Austin Wynns
Mike Yastrzemski
Christian Yelich
Juan Yepez
Jared Young
Seby Zavala
Bradley Zimmer
Mike Zunino
MLB AVERAGE
MLB RECORD
""
